DicTerm,DAV,IAV,SV
wailing,X,,
wails,X,,
wait,X,,
waited,X,,
waiting,,X,
waits,,X,
wake,X,,
wakes,X,,
waking,X,,
walk,X,,
walked,X,,
walking,X,,
walks,X,,
wander,X,,
wandered,X,,
wandering,X,,
wanders,X,,
wanna,,,X
want,,,X
wanted,,,X
wanting,,,X
wants,,,X
warm,,X,
warmed,,X,
warming,,X,
warms,,X,
warn,X,,
warned,X,,
warning,X,,
warns,X,,
warp,,X,
warped,,X,
warping,,X,
warps,,X,
wash,X,,
washed,X,,
washes,X,,
washing,X,,
waste,,X,
wasted,,X,
wastes,,X,
wasting,,X,
watch,X,,
watched,X,,
watches,X,,
watching,X,,
water,X,,
watered,X,,
watering,X,,
waters,X,,
wave,X,,
waved,X,,
waver,X,,
wavered,X,,
wavering,X,,
wavers,X,,
waves,X,,
waving,X,,
wear,X,,
wearing,X,,
wears,X,,
weave,X,,
weaves,X,,
weaving,X,,
wed,X,,
wedded,X,,
wedding,X,,
weds,X,,
weep,X,,
weeping,X,,
weeps,X,,
weigh,X,,
weighed,X,,
weighing,X,,
weighs,X,,
welcome,,X,
welcomed,,X,
welcomes,,X,
welcoming,,X,
went,X,,
wept,X,,
wet,X,,
wets,X,,
wetted,X,,
wetting,X,,
whimper,X,,
whimpered,X,,
whimpering,X,,
whimpers,X,,
whine,X,,
whined,X,,
whines,X,,
whining,X,,
whip,X,,
whipped,X,,
whipping,X,,
whips,X,,
whirl,X,,
whirled,X,,
whirling,X,,
whirls,X,,
whisper,X,,
whispered,X,,
whispering,X,,
whispers,X,,
whistle,X,,
whistled,X,,
whistles,X,,
whistling,X,,
widen,X,,
widened,X,,
widening,X,,
widens,X,,
will,,X,
willed,,X,
willing,,X,
wills,,X,
wilt,,X,
wilted,,X,
wilting,,X,
wilts,,X,
win,,X,
wince,X,,
winced,X,,
winces,X,,
wincing,X,,
wind,X,,
winding,X,,
winds,X,,
wink,X,,
winked,X,,
winking,X,,
winks,X,,
winning,,X,
wins,,X,
wipe,X,,
wiped,X,,
wipes,X,,
wiping,X,,
wire,,X,
wired,,X,
wires,,X,
wiring,,X,
wish,,,X
wished,,,X
wishes,,,X
wishing,,,X
withdraw,,X,
withdrawing,,X,
withdrawn,,X,
withdraws,,X,
withdrew,,X,
withheld,,X,
withhold,,X,
withholding,,X,
withholds,,X,
withstand,,X,
withstanding,,X,
withstands,,X,
withstood,,X,
witness,X,,
witnesses,X,,
witnessing,X,,
wobble,X,,
wobbled,X,,
wobbles,X,,
wobbling,X,,
woke,X,,
woken,X,,
won,,X,
won't,,,X
wonder,,,X
wondered,,,X
wondering,,,X
wonders,,,X
word,X,,
worded,X,,
wording,X,,
words,X,,
wore,X,,
work,X,,
worked,X,,
working,,X,
works,,X,
worn,X,,
worried,,,X
worries,,,X
worry,,,X
worrying,,,X
worship,,,X
worshipped,,,X
worshipping,,,X
worships,,,X
wound,X,,
wounded,X,,
wounding,X,,
wounds,X,,
wove,X,,
woven,X,,
wow,,,X
wrap,,X,
wrapped,X,,
wrapping,,X,
wraps,,X,
wreck,,X,
wrecked,,X,
wrecking,,X,
wrecks,,X,
wrestle,X,,
wrestled,X,,
wrestles,X,,
wrestling,X,,
wriggle,X,,
wriggled,X,,
wriggles,X,,
wriggling,X,,
wring,X,,
wringing,X,,
wrings,X,,
write,X,,
writes,X,,
writing,X,,
written,X,,
wrote,X,,
wrung,X,,
yawn,X,,
yawned,X,,
yawning,X,,
yawns,X,,
yearn,,,X
yearned,,,X
yearning,,,X
yearns,,,X
yell,X,,
yelled,X,,
yelling,X,,
yells,X,,
yelp,X,,
yelped,X,,
yelping,X,,
yelps,X,,
yield,,X,
yielded,,X,
yielding,,X,
yields,,X,
zip,X,,
zipped,X,,
zipping,X,,
zips,X,,
zoom,X,,
zoomed,X,,
zooming,X,,
zooms,X,,
